path,total_frames,drops,drop_rate%,max_ifi_ms
sub-001\phase_0\不\frame_log.csv,38,0,0.0,0.0
sub-001\phase_0\中\frame_log.csv,79,0,0.0,0.0
sub-001\phase_0\人\frame_log.csv,63,0,0.0,0.0
sub-001\phase_0\又\frame_log.csv,78,0,0.0,0.0
sub-001\phase_0\土\frame_log.csv,76,0,0.0,0.0
sub-001\phase_0\大\frame_log.csv,44,0,0.0,0.0
sub-001\phase_0\女\frame_log.csv,56,0,0.0,0.0
sub-001\phase_0\子\frame_log.csv,74,0,0.0,0.0
sub-001\phase_0\心\frame_log.csv,65,0,0.0,0.0
sub-001\phase_0\日\frame_log.csv,45,0,0.0,0.0
sub-001\phase_0\月\frame_log.csv,83,0,0.0,0.0
sub-001\phase_0\木\frame_log.csv,63,0,0.0,0.0
sub-001\phase_0\王\frame_log.csv,67,0,0.0,0.0
sub-001\trial_summary\pair_001\frame_log.csv,617,4,0.65,118.86
sub-001\trial_summary\pair_003\frame_log.csv,999,6,0.6,106.5
sub-001\trial_summary\pair_004\frame_log.csv,624,4,0.64,95.26
sub-001\trial_summary\pair_006\frame_log.csv,669,4,0.6,110.95
sub-001\trial_summary\pair_007\frame_log.csv,617,4,0.65,114.6
sub-001\trial_summary\pair_010\frame_log.csv,600,4,0.67,131.48
sub-001\trial_summary\pair_011\frame_log.csv,691,4,0.58,93.23
sub-001\trial_summary\pair_014\frame_log.csv,585,4,0.68,109.28
sub-001\trial_summary\pair_015\frame_log.csv,610,4,0.66,114.94
sub-001\trial_summary\pair_016\frame_log.csv,613,4,0.65,97.37
sub-001\trial_summary\pair_018\frame_log.csv,683,4,0.59,88.18
sub-001\trial_summary\pair_019\frame_log.csv,636,4,0.63,110.02
sub-001\trial_summary\pair_022\frame_log.csv,649,4,0.62,102.8
sub-001\trial_summary\pair_025\frame_log.csv,665,4,0.6,89.24
sub-001\trial_summary\pair_026\frame_log.csv,565,4,0.71,118.69
sub-001\trial_summary\pair_028\frame_log.csv,780,4,0.51,102.17
sub-001\trial_summary\pair_029\frame_log.csv,847,4,0.47,106.18
sub-001\trial_summary\pair_033\frame_log.csv,625,4,0.64,136.36
sub-001\trial_summary\pair_034\frame_log.csv,692,4,0.58,159.13
sub-001\trial_summary\pair_036\frame_log.csv,684,4,0.58,105.32
sub-001\trial_summary\pair_041\frame_log.csv,603,4,0.66,113.13
sub-001\trial_summary\pair_049\frame_log.csv,700,4,0.57,90.24
sub-001\trial_summary\pair_050\frame_log.csv,823,4,0.49,120.26
sub-001\trial_summary\pair_052\frame_log.csv,651,4,0.61,120.75
sub-001\trial_summary\pair_054\frame_log.csv,665,4,0.6,133.96
sub-001\trial_summary\pair_056\frame_log.csv,652,4,0.61,114.57
sub-001\trial_summary\pair_057\frame_log.csv,687,4,0.58,109.94
sub-001\trial_summary\pair_058\frame_log.csv,692,4,0.58,106.17
sub-001\trial_summary\pair_060\frame_log.csv,603,4,0.66,85.26
sub-001\trial_summary\pair_064\frame_log.csv,637,4,0.63,85.04
sub-001\trial_summary\pair_065\frame_log.csv,700,4,0.57,119.47
sub-001\trial_summary\pair_066\frame_log.csv,607,4,0.66,94.77
sub-001\trial_summary\pair_067\frame_log.csv,609,4,0.66,135.59
sub-001\trial_summary\pair_068\frame_log.csv,644,4,0.62,84.44
sub-001\trial_summary\pair_073\frame_log.csv,666,4,0.6,124.26
sub-001\trial_summary\pair_076\frame_log.csv,694,4,0.58,108.2
sub-001\trial_summary\pair_077\frame_log.csv,695,4,0.58,92.24
sub-001\trial_summary\pair_078\frame_log.csv,767,4,0.52,102.49
sub-001\trial_summary\pair_079\frame_log.csv,632,4,0.63,105.15
sub-001\trial_summary\pair_080\frame_log.csv,646,4,0.62,92.14
sub-001\trial_summary\pair_082\frame_log.csv,597,4,0.67,133.14
sub-001\trial_summary\pair_084\frame_log.csv,635,4,0.63,111.81
sub-001\trial_summary\pair_088\frame_log.csv,699,4,0.57,109.28
sub-001\trial_summary\pair_091\frame_log.csv,659,4,0.61,115.97
sub-002\phase_0\不\frame_log.csv,61,0,0.0,0.0
sub-002\phase_0\中\frame_log.csv,70,0,0.0,0.0
sub-002\phase_0\人\frame_log.csv,89,0,0.0,0.0
sub-002\phase_0\又\frame_log.csv,91,0,0.0,0.0
sub-002\phase_0\土\frame_log.csv,91,0,0.0,0.0
sub-002\phase_0\大\frame_log.csv,75,0,0.0,0.0
sub-002\phase_0\女\frame_log.csv,81,0,0.0,0.0
sub-002\phase_0\子\frame_log.csv,64,1,1.56,33.41
sub-002\phase_0\心\frame_log.csv,103,0,0.0,0.0
sub-002\phase_0\日\frame_log.csv,131,0,0.0,0.0
sub-002\phase_0\月\frame_log.csv,153,0,0.0,0.0
sub-002\phase_0\木\frame_log.csv,74,0,0.0,0.0
sub-002\phase_0\王\frame_log.csv,66,0,0.0,0.0
sub-002\trial_summary\pair_001\frame_log.csv,1322,4,0.3,100.26
sub-002\trial_summary\pair_002\frame_log.csv,1664,8,0.48,100.0
sub-002\trial_summary\pair_004\frame_log.csv,1685,4,0.24,116.72
sub-002\trial_summary\pair_007\frame_log.csv,1439,4,0.28,117.01
sub-002\trial_summary\pair_008\frame_log.csv,1971,4,0.2,150.29
sub-002\trial_summary\pair_009\frame_log.csv,1455,4,0.27,766.82
sub-002\trial_summary\pair_010\frame_log.csv,1239,4,0.32,100.04
sub-002\trial_summary\pair_011\frame_log.csv,1326,4,0.3,116.98
sub-002\trial_summary\pair_012\frame_log.csv,1561,4,0.26,516.75
sub-002\trial_summary\pair_013\frame_log.csv,1922,4,0.21,2267.46
sub-002\trial_summary\pair_014\frame_log.csv,1266,5,0.39,150.02
sub-002\trial_summary\pair_015\frame_log.csv,2188,4,0.18,100.01
sub-002\trial_summary\pair_016\frame_log.csv,1890,4,0.21,149.9
sub-002\trial_summary\pair_019\frame_log.csv,2039,3,0.15,133.62
sub-002\trial_summary\pair_020\frame_log.csv,1532,4,0.26,100.41
sub-002\trial_summary\pair_021\frame_log.csv,1496,4,0.27,150.31
sub-002\trial_summary\pair_022\frame_log.csv,1420,8,0.56,1100.88
sub-002\trial_summary\pair_024\frame_log.csv,1362,4,0.29,99.96
sub-002\trial_summary\pair_025\frame_log.csv,1529,4,0.26,150.27
sub-002\trial_summary\pair_026\frame_log.csv,1059,4,0.38,133.66
sub-002\trial_summary\pair_027\frame_log.csv,1450,4,0.28,117.01
sub-002\trial_summary\pair_029\frame_log.csv,1400,4,0.29,150.04
sub-002\trial_summary\pair_031\frame_log.csv,1766,4,0.23,116.72
sub-002\trial_summary\pair_034\frame_log.csv,2111,4,0.19,133.11
sub-002\trial_summary\pair_035\frame_log.csv,1755,5,0.28,116.64
sub-002\trial_summary\pair_036\frame_log.csv,1653,4,0.24,116.7
sub-002\trial_summary\pair_037\frame_log.csv,951,4,0.42,116.67
sub-002\trial_summary\pair_038\frame_log.csv,1760,4,0.23,116.71
sub-002\trial_summary\pair_039\frame_log.csv,2293,4,0.17,133.61
sub-002\trial_summary\pair_040\frame_log.csv,1870,4,0.21,149.88
sub-002\trial_summary\pair_041\frame_log.csv,1724,4,0.23,133.35
sub-002\trial_summary\pair_042\frame_log.csv,1318,4,0.3,83.7
sub-002\trial_summary\pair_046\frame_log.csv,1477,4,0.27,133.67
sub-002\trial_summary\pair_047\frame_log.csv,1469,5,0.34,116.76
sub-002\trial_summary\pair_049\frame_log.csv,1537,4,0.26,149.99
sub-002\trial_summary\pair_050\frame_log.csv,1546,4,0.26,116.64
sub-002\trial_summary\pair_051\frame_log.csv,1604,4,0.25,99.98
sub-002\trial_summary\pair_054\frame_log.csv,1387,4,0.29,116.64
sub-002\trial_summary\pair_055\frame_log.csv,1606,4,0.25,133.69
sub-002\trial_summary\pair_056\frame_log.csv,1149,4,0.35,100.17
sub-002\trial_summary\pair_058\frame_log.csv,2015,4,0.2,133.01
sub-002\trial_summary\pair_060\frame_log.csv,1575,4,0.25,116.69
sub-002\trial_summary\pair_061\frame_log.csv,1709,4,0.23,99.64
sub-002\trial_summary\pair_062\frame_log.csv,1313,4,0.3,133.35
sub-002\trial_summary\pair_063\frame_log.csv,2144,4,0.19,116.51
sub-002\trial_summary\pair_065\frame_log.csv,1717,6,0.35,133.03
sub-002\trial_summary\pair_067\frame_log.csv,1307,4,0.31,133.63
sub-002\trial_summary\pair_068\frame_log.csv,1277,4,0.31,100.33
sub-002\trial_summary\pair_069\frame_log.csv,1274,4,0.31,83.4
sub-002\trial_summary\pair_070\frame_log.csv,1303,4,0.31,117.61
sub-002\trial_summary\pair_072\frame_log.csv,1320,4,0.3,100.02
sub-002\trial_summary\pair_073\frame_log.csv,1770,7,0.4,116.98
sub-002\trial_summary\pair_074\frame_log.csv,1808,4,0.22,1217.17
sub-002\trial_summary\pair_076\frame_log.csv,1616,4,0.25,116.65
sub-002\trial_summary\pair_078\frame_log.csv,1988,6,0.3,216.69
sub-002\trial_summary\pair_080\frame_log.csv,1717,4,0.23,932.81
sub-002\trial_summary\pair_081\frame_log.csv,2132,4,0.19,133.35
sub-002\trial_summary\pair_082\frame_log.csv,1135,4,0.35,116.95
sub-002\trial_summary\pair_085\frame_log.csv,2326,4,0.17,183.68
sub-002\trial_summary\pair_086\frame_log.csv,1385,4,0.29,149.95
sub-002\trial_summary\pair_087\frame_log.csv,1585,4,0.25,150.06
sub-002\trial_summary\pair_088\frame_log.csv,1880,4,0.21,133.27
sub-002\trial_summary\pair_089\frame_log.csv,1307,4,0.31,100.15
sub-002\trial_summary\pair_091\frame_log.csv,1662,4,0.24,83.35
sub-003\phase_0\不\frame_log.csv,54,0,0.0,0.0
sub-003\phase_0\中\frame_log.csv,51,0,0.0,0.0
sub-003\phase_0\人\frame_log.csv,36,0,0.0,0.0
sub-003\phase_0\又\frame_log.csv,49,0,0.0,0.0
sub-003\phase_0\土\frame_log.csv,56,0,0.0,0.0
sub-003\phase_0\大\frame_log.csv,61,0,0.0,0.0
sub-003\phase_0\女\frame_log.csv,36,0,0.0,0.0
sub-003\phase_0\子\frame_log.csv,34,0,0.0,0.0
sub-003\phase_0\心\frame_log.csv,35,0,0.0,0.0
sub-003\phase_0\日\frame_log.csv,75,1,1.33,60.49
sub-003\phase_0\月\frame_log.csv,42,0,0.0,0.0
sub-003\phase_0\木\frame_log.csv,56,0,0.0,0.0
sub-003\phase_0\王\frame_log.csv,46,0,0.0,0.0
sub-003\trial_summary\pair_001\frame_log.csv,623,4,0.64,117.84
sub-003\trial_summary\pair_002\frame_log.csv,603,4,0.66,84.14
sub-003\trial_summary\pair_003\frame_log.csv,607,4,0.66,70.94
sub-003\trial_summary\pair_004\frame_log.csv,608,4,0.66,141.49
sub-003\trial_summary\pair_005\frame_log.csv,532,4,0.75,89.91
sub-003\trial_summary\pair_006\frame_log.csv,579,4,0.69,71.83
sub-003\trial_summary\pair_007\frame_log.csv,733,4,0.55,70.46
sub-003\trial_summary\pair_008\frame_log.csv,734,4,0.54,113.26
sub-003\trial_summary\pair_009\frame_log.csv,557,4,0.72,83.29
sub-003\trial_summary\pair_010\frame_log.csv,561,4,0.71,79.33
sub-003\trial_summary\pair_011\frame_log.csv,596,4,0.67,100.47
sub-003\trial_summary\pair_012\frame_log.csv,618,4,0.65,82.48
sub-003\trial_summary\pair_013\frame_log.csv,545,4,0.73,88.63
sub-003\trial_summary\pair_014\frame_log.csv,603,4,0.66,88.22
sub-003\trial_summary\pair_015\frame_log.csv,579,4,0.69,87.97
sub-003\trial_summary\pair_016\frame_log.csv,547,4,0.73,96.85
sub-003\trial_summary\pair_017\frame_log.csv,594,4,0.67,100.48
sub-003\trial_summary\pair_018\frame_log.csv,843,4,0.47,79.68
sub-003\trial_summary\pair_019\frame_log.csv,545,4,0.73,102.47
sub-003\trial_summary\pair_020\frame_log.csv,658,4,0.61,88.86
sub-003\trial_summary\pair_021\frame_log.csv,582,4,0.69,111.16
sub-003\trial_summary\pair_022\frame_log.csv,588,4,0.68,95.42
sub-003\trial_summary\pair_023\frame_log.csv,528,4,0.76,91.0
sub-003\trial_summary\pair_024\frame_log.csv,555,4,0.72,79.22
sub-003\trial_summary\pair_025\frame_log.csv,662,4,0.6,98.97
sub-003\trial_summary\pair_026\frame_log.csv,590,4,0.68,99.65
sub-003\trial_summary\pair_027\frame_log.csv,972,4,0.41,86.63
sub-003\trial_summary\pair_028\frame_log.csv,572,4,0.7,94.21
sub-003\trial_summary\pair_029\frame_log.csv,526,4,0.76,101.62
